[2025-12-05 15:50:58] CPU: 20.9% | MEM: 85.0%
[2025-12-05 15:50:59] CPU: 20.3% | MEM: 85.5%
[2025-12-05 15:51:00] CPU: 30.7% | MEM: 85.9%
[2025-12-05 15:51:01] CPU: 35.6% | MEM: 86.3%
[2025-12-05 15:51:02] CPU: 20.3% | MEM: 86.9%
[2025-12-05 15:51:03] CPU: 19.4% | MEM: 87.4%
[2025-12-05 15:51:04] CPU: 23.4% | MEM: 87.9%
[2025-12-05 15:51:05] CPU: 23.6% | MEM: 87.6%
[2025-12-05 15:51:06] CPU: 22.9% | MEM: 85.1%
[2025-12-05 15:51:07] CPU: 29.6% | MEM: 85.5%
[2025-12-05 15:51:08] CPU: 21.5% | MEM: 86.1%
[2025-12-05 15:51:09] CPU: 20.8% | MEM: 86.6%
[2025-12-05 15:51:10] CPU: 20.2% | MEM: 87.2%
[2025-12-05 15:51:11] CPU: 25.4% | MEM: 87.8%
[2025-12-05 15:51:12] CPU: 24.8% | MEM: 88.3%
[2025-12-05 15:51:13] CPU: 26.1% | MEM: 88.9%
[2025-12-05 15:51:14] CPU: 25.6% | MEM: 89.4%
[2025-12-05 15:51:15] CPU: 31.1% | MEM: 90.4%
[2025-12-05 15:51:16] CPU: 21.1% | MEM: 90.9%
[2025-12-05 15:51:17] CPU: 23.7% | MEM: 91.5%
[2025-12-05 15:51:18] CPU: 22.5% | MEM: 92.1%
[2025-12-05 15:51:19] CPU: 23.6% | MEM: 93.2%
[2025-12-05 15:51:20] CPU: 38.3% | MEM: 92.4%
[2025-12-05 15:51:21] CPU: 61.4% | MEM: 90.4%
[2025-12-05 15:51:22] CPU: 22.4% | MEM: 90.6%
[2025-12-05 15:51:23] CPU: 24.5% | MEM: 90.7%
[2025-12-05 15:51:25] CPU: 18.2% | MEM: 91.0%
[2025-12-05 15:51:26] CPU: 25.8% | MEM: 91.1%
[2025-12-05 15:51:27] CPU: 26.6% | MEM: 91.2%
[2025-12-05 15:51:28] CPU: 28.0% | MEM: 91.3%
[2025-12-05 15:51:29] CPU: 19.0% | MEM: 91.4%
[2025-12-05 15:51:30] CPU: 23.6% | MEM: 89.5%
[2025-12-05 15:51:32] CPU: 33.1% | MEM: 94.3%
[2025-12-05 15:51:33] CPU: 53.9% | MEM: 80.0%
[2025-12-05 15:51:34] CPU: 65.1% | MEM: 79.8%
[2025-12-05 15:51:35] CPU: 97.2% | MEM: 79.8%
[2025-12-05 15:51:36] CPU: 97.7% | MEM: 80.1%
[2025-12-05 15:51:37] CPU: 84.0% | MEM: 81.8%
[2025-12-05 15:51:38] CPU: 60.4% | MEM: 83.3%
[2025-12-05 15:51:39] CPU: 50.1% | MEM: 83.9%
[2025-12-05 15:51:40] CPU: 58.9% | MEM: 84.6%
[2025-12-05 15:51:41] CPU: 41.8% | MEM: 84.2%
[2025-12-05 15:51:42] CPU: 62.3% | MEM: 83.4%
[2025-12-05 15:51:43] CPU: 59.6% | MEM: 83.4%
[2025-12-05 15:51:44] CPU: 55.3% | MEM: 81.9%
[2025-12-05 15:51:45] CPU: 62.4% | MEM: 81.8%
[2025-12-05 15:51:46] CPU: 84.8% | MEM: 82.5%
[2025-12-05 15:51:47] CPU: 63.0% | MEM: 81.5%
[2025-12-05 15:51:48] CPU: 52.2% | MEM: 80.9%
[2025-12-05 15:51:49] CPU: 56.4% | MEM: 79.9%
[2025-12-05 15:51:50] CPU: 57.1% | MEM: 79.8%
[2025-12-05 15:51:51] CPU: 73.0% | MEM: 80.9%
[2025-12-05 15:51:52] CPU: 60.0% | MEM: 80.8%
[2025-12-05 15:51:53] CPU: 48.1% | MEM: 79.4%
[2025-12-05 15:51:54] CPU: 46.9% | MEM: 79.1%
[2025-12-05 15:51:55] CPU: 35.8% | MEM: 79.7%
[2025-12-05 15:51:56] CPU: 28.7% | MEM: 79.9%
[2025-12-05 15:51:57] CPU: 41.3% | MEM: 80.7%
[2025-12-05 15:51:58] CPU: 21.8% | MEM: 81.5%
[2025-12-05 15:51:59] CPU: 26.4% | MEM: 82.2%
[2025-12-05 15:52:00] CPU: 47.7% | MEM: 82.7%
